"session_id","trial_id","label","variant","packet_count","total_bytes","uplink_packets","downlink_packets","uplink_bytes","downlink_bytes","uplink_ratio","mean_packet_size","std_packet_size","min_packet_size","max_packet_size","mean_iat","std_iat","max_iat","traffic_duration","first_packet_delay","tcp_packet_count","udp_packet_count","burst_count","max_burst_packets","direction_changes"
"S001","S001_T029","photo","100KB","50","60131","18","32","57987","2144","0.36","1202.62","3815.398626041583","54","16460","0.2704540205001831","0.804997696583803","4.608006477355957","13.522701025009155","1.3342230319976807","50","0","6","26","28"
"S001","S001_T022","text","1000_chars","67","34936","27","40","23779","11157","0.40298507462686567","521.4328358208955","1441.060650260002","54","7881","0.20404992174746386","0.8700317146191416","6.608830690383911","13.671344757080078","0.06572866439819336","67","0","5","32","32"
"S001","S001_T052","text","1000_chars","91","42627","48","43","19440","23187","0.5274725274725275","468.42857142857144","1107.5199712222802","54","7897","0.1482060086596143","0.49076549045355156","2.8158504962921143","13.486746788024902","0.8278028964996338","81","10","5","64","52"
"S001","S001_T018","photo","1MB","70","64320","30","40","55235","9085","0.42857142857142855","918.8571428571429","2933.821507306587","54","16460","0.19567578179495676","0.9256590677787976","7.3471081256866455","13.697304725646973","0.9237971305847168","36","34","5","34","28"
"S001","S001_T039","text","100_chars","14","3280","7","7","2813","467","0.5","234.28571428571428","625.7626693622328","54","2489","0.7433172804968697","1.9169383745607724","7.351255416870117","10.406441926956177","0.8147366046905518","14","0","3","6","10"
"S001","S001_T003","text","100_chars","45","7910","22","23","5695","2215","0.4888888888888889","175.77777777777777","405.62872399325346","54","2505","0.24580894576178658","0.729263966507106","4.238897323608398","11.061402559280396","0.7449464797973633","45","0","5","26","28"
"S001","S001_T057","text","100_chars","17","3619","8","9","2962","657","0.47058823529411764","212.88235294117646","573.9002662230905","54","2505","0.6669356822967529","1.5050700416421283","6.071210145950317","11.3379065990448","0.7284080982208252","17","0","4","7","14"
"S001","S001_T040","text","1000_chars","96","96852","49","47","78584","18268","0.5104166666666666","1008.875","3769.1274113126415","54","30164","0.11496940751870473","0.3900323738853973","2.2695939540863037","11.037063121795654","0.06319451332092285","86","10","6","43","48"
"S001","S001_T031","text","1_char","404","365969","188","216","44245","321724","0.46534653465346537","905.8638613861386","2100.209802999403","54","19906","0.03532663725390293","0.295782574206504","4.853102207183838","14.271961450576782","0.6889209747314453","336","68","6","248","163"
"S001","S001_T042","photo","1MB","86","71259","41","45","58558","12701","0.47674418604651164","828.5930232558139","2661.398519304461","54","16460","0.16249856283498365","0.4752638542884612","2.815676689147949","13.974876403808594","0.4791438579559326","40","46","8","48","49"
"S001","S001_T002","text","10_chars","51","17346","25","26","6043","11303","0.49019607843137253","340.11764705882354","1206.3577599463185","54","8562","0.22396600480173148","0.5576174321285007","2.3037877082824707","11.422266244888306","0.825188398361206","51","0","6","29","36"
"S001","S001_T060","photo","1MB","43","45606","18","25","43856","1750","0.4186046511627907","1060.6046511627908","3709.2203539823527","54","16460","0.33650284035261285","0.7212865126442699","3.4146728515625","14.469622135162354","0.33764219284057617","43","0","7","23","27"
"S001","S001_T023","photo","100KB","91","82104","42","49","70261","11843","0.46153846153846156","902.2417582417582","2983.1754500412435","54","16460","0.13933291802039513","0.5529137500864549","3.2932686805725098","12.679295539855957","0.46184206008911133","47","44","5","79","42"
"S001","S001_T028","text","1000_chars","22","9746","10","12","8616","1130","0.45454545454545453","443.0","1627.5401684751132","54","7897","0.4691003452647816","0.8877757916065725","3.255133628845215","10.320207595825195","0.9024410247802734","22","0","6","7","16"
"S001","S001_T001","text","1_char","72","24504","34","38","15212","9292","0.4722222222222222","340.3333333333333","504.76520944560616","54","1884","0.1900936696264479","0.6345403153020944","3.5238497257232666","13.686744213104248","0.8389086723327637","40","32","5","34","42"
"S001","S001_T055","text","1_char","16","3106","7","9","2367","739","0.4375","194.125","437.9461831949218","54","1884","0.6218771636486053","1.2097850505221903","3.454684019088745","9.950034618377686","0.7536876201629639","16","0","4","10","12"
"S001","S001_T046","text","1000_chars","22","13123","13","9","12384","739","0.5909090909090909","596.5","1642.029336190158","54","7897","0.5669196085496382","1.4503514419421655","6.9376702308654785","12.472231388092041","0.2687265872955322","16","6","4","12","11"
"S001","S001_T030","photo","1MB","33","45049","11","22","43420","1629","0.3333333333333333","1365.121212121212","4187.840122831641","54","16460","0.33228245648470794","0.7711748605508641","3.2551991939544678","10.965321063995361","1.3499469757080078","33","0","6","23","16"
"S001","S001_T033","text","100_chars","20","4127","8","12","3125","1002","0.4","206.35","525.3106961599012","54","2489","0.40982742309570314","0.8590967187559279","3.2551088333129883","8.196548461914062","0.8279397487640381","20","0","4","11","14"
"S001","S001_T053","photo","100KB","81","82811","32","49","69511","13300","0.3950617283950617","1022.358024691358","3142.444799238765","54","16460","0.15802384600227262","0.817279976655886","6.416812181472778","12.799931526184082","0.48059749603271484","42","39","4","66","32"
"S001","S001_T035","photo","100KB","81","82595","34","47","70877","11718","0.41975308641975306","1019.6913580246913","3146.651199122277","54","16460","0.14555810998987267","0.5460280019454217","3.912536144256592","11.790206909179688","1.1591384410858154","37","44","5","40","40"
"S001","S001_T015","text","100_chars","29","5475","11","18","3549","1926","0.3793103448275862","188.79310344827587","447.5728705308179","54","2521","0.3517504971602867","0.8047324456391951","3.912581443786621","10.200764417648315","0.8171358108520508","29","0","4","20","20"
"S001","S001_T011","photo","100KB","83","83097","35","48","71301","11796","0.42168674698795183","1001.1686746987951","3107.802779477353","54","16460","0.1563497566315065","0.7462539263498827","5.953109502792358","12.977029800415039","0.28528332710266113","44","39","4","75","36"
"S001","S001_T016","text","1000_chars","53","22746","23","30","14976","7770","0.4339622641509434","429.1698113207547","1116.1651283773494","54","7913","0.2596469780184188","0.882419283156037","4.475281000137329","13.761289834976196","0.9149327278137207","25","28","4","28","30"
"S001","S001_T017","photo","100KB","113","112904","45","68","96284","16620","0.39823008849557523","999.1504424778761","2830.592214908671","54","16460","0.09246225061669813","0.4096848231961389","3.461369276046753","10.44823431968689","1.1655597686767578","98","15","3","73","47"
"S001","S001_T058","text","1000_chars","31","15543","17","14","14386","1157","0.5483870967741935","501.38709677419354","1420.26748224545","54","7897","0.23710852284585276","0.46364111996455837","1.980745792388916","7.3503642082214355","0.08975076675415039","25","6","3","15","19"
"S001","S001_T059","photo","100KB","81","81440","34","47","69044","12396","0.41975308641975306","1005.4320987654321","3145.2185028348363","54","16460","0.16535169695630486","0.65683525194667","5.192562580108643","13.393487453460693","1.1658480167388916","34","47","6","38","38"
"S001","S001_T014","text","10_chars","16","3174","7","9","2435","739","0.4375","198.375","454.3475920206907","54","1952","0.7390688508749008","1.447656558661684","5.192547559738159","11.825101613998413","0.8088126182556152","16","0","4","10","12"
"S001","S001_T026","text","10_chars","16","3176","7","9","2437","739","0.4375","198.5","454.8300506782726","54","1954","0.7901399880647659","1.6204338067824782","5.0512001514434814","12.642239809036255","0.7919344902038574","16","0","4","10","12"
"S001","S001_T027","text","100_chars","16","3727","7","9","2988","739","0.4375","232.9375","587.8516467560077","54","2505","0.6598676294088364","1.534789006564675","5.192626714706421","10.557882070541382","0.8927707672119141","16","0","3","12","12"
"S001","S001_T043","text","1_char","19","3552","8","11","2479","1073","0.42105263157894735","186.94736842105263","400.3506980641387","54","1868","0.7025601989344546","1.5319684231295958","4.936543703079224","13.348643779754639","0.7675964832305908","19","0","4","10","14"
"S001","S001_T054","photo","1MB","30","46615","11","19","45272","1343","0.36666666666666664","1553.8333333333333","4364.31631211834","54","16460","0.35361979007720945","1.0401696244805296","5.192699670791626","10.608593702316284","1.1203734874725342","30","0","4","21","16"
"S001","S001_T032","text","10_chars","86","35867","41","45","19505","16362","0.47674418604651164","417.0581395348837","583.28688451143","54","3035","0.16446091685184214","0.6493260999957464","5.047155141830444","14.143638849258423","0.7582681179046631","42","44","7","33","44"
"S001","S001_T008","text","10_chars","17","3384","8","9","2501","883","0.47058823529411764","199.05882352941177","446.84942464380356","54","1971","0.6340186175178079","1.2589929337228547","4.741725444793701","10.778316497802734","0.8554856777191162","17","0","5","5","12"
"S001","S001_T036","photo","1MB","18","43921","8","10","43210","711","0.4444444444444444","2440.0555555555557","5444.715210103813","54","16460","0.558975961473253","1.4925852954261711","6.220710754394531","10.061567306518555","0.3000774383544922","18","0","3","11","9"
"S001","S001_T047","photo","100KB","167","93070","76","91","76218","16852","0.4550898203592814","557.3053892215569","2235.865580655817","54","16460","0.07625871789669562","0.45234017856692615","4.728027820587158","12.735205888748169","0.2764461040496826","123","44","5","154","110"
"S001","S001_T037","text","1_char","127","39762","57","70","18145","21617","0.44881889763779526","313.0866141732283","674.9128613760008","54","3167","0.11058406942472683","0.478937622082373","3.8397083282470703","14.044176816940308","0.8070547580718994","125","2","5","113","70"
"S001","S001_T010","text","1000_chars","59","27765","28","31","19016","8749","0.4745762711864407","470.59322033898303","1083.765455873118","54","7913","0.2220766180652683","0.734693823192636","3.774641990661621","13.10252046585083","0.8856983184814453","27","32","5","32","32"
"S001","S001_T049","text","1_char","18","3266","8","10","2456","810","0.4444444444444444","181.44444444444446","422.4441083638853","54","1916","0.8107237021128336","1.9934187154814131","8.191727876663208","14.593026638031006","0.3203299045562744","18","0","3","12","13"
"S001","S001_T005","photo","100KB","72","80963","35","37","71823","9140","0.4861111111111111","1124.486111111111","3318.217300805156","54","16460","0.17160218622949389","0.669790060891152","4.13538384437561","12.35535740852356","1.3818986415863037","39","33","4","46","30"
"S001","S001_T007","text","1_char","55","18667","25","30","10194","8473","0.45454545454545453","339.4","482.13225646836025","54","1868","0.19880002628673207","0.6152157235000206","3.90350604057312","10.934001445770264","0.9198441505432129","15","40","5","35","28"
"S001","S001_T056","text","10_chars","33","10239","16","17","6539","3700","0.48484848484848486","310.27272727272725","472.94680799810067","54","1933","0.3714097991134181","0.8870926651365323","4.6282665729522705","12.256523370742798","0.7934906482696533","23","10","6","10","20"
"S001","S001_T050","text","10_chars","13","2833","6","7","2284","549","0.46153846153846156","217.92307692307693","496.8924139146392","54","1935","0.9071795023404635","1.8412373011281038","6.7248334884643555","11.793333530426025","0.7765421867370605","13","0","4","4","10"
"S001","S001_T048","photo","1MB","23","44302","9","14","43291","1011","0.391304347826087","1926.1739130434783","4910.226025543851","54","16460","0.5227229076883068","1.5866686043786833","7.607055425643921","12.022626876831055","1.2386534214019775","23","0","4","11","12"
"S001","S001_T021","text","100_chars","13","3403","6","7","2854","549","0.46153846153846156","261.7692307692308","648.4954366539108","54","2505","0.7999800535348746","2.008718820005446","7.607181072235107","10.39974069595337","0.8749933242797852","13","0","3","5","10"
"S001","S001_T045","text","100_chars","27679","146801655","8510","19169","463037","146338618","0.30745330394884207","5303.7196069222155","10773.639019154578","54","62446","0.00047572838561961","0.044408436812103144","6.728771686553955","13.167685985565186","0.8891887664794922","27677","2","4","27663","6528"
